order_id,product_id,qty,unit_price,discount_pct
O0000001,P00280,3,145.69,5
O0000002,P00060,1,104.42,0
O0000002,P00237,3,239.06,0
O0000003,P00300,4,317.62,0
O0000003,P00158,4,199.17,0
O0000003,P00134,2,417.99,5
O0000004,P00059,2,48.19,5
O0000004,P00167,3,172.97,0
O0000005,P00120,3,4.64,0
O0000005,P00072,4,473.24,10
O0000006,P00155,3,66.87,5
O0000006,P00189,3,234.03,0
O0000007,P00253,4,131.83,0
O0000008,P00203,1,303.27,10
O0000008,P00039,4,428.44,15
O0000008,P00290,2,211.57,0
O0000008,P00038,4,246.63,0
O0000009,P00020,2,36.02,0
O0000009,P00187,4,200.42,15
O0000009,P00128,1,52.27,0
O0000009,P00041,3,14.62,0
O0000009,P00094,3,72.09,0
O0000010,P00063,4,161.21,0
O0000010,P00290,3,211.57,10
O0000010,P00009,1,25.41,10
O0000010,P00007,4,286.68,0
O0000010,P00248,3,141.96,0
O0000011,P00174,4,216.74,5
O0000011,P00062,4,115.99,0
O0000011,P00059,1,48.19,5
O0000012,P00223,4,9.6,10
O0000012,P00050,4,139.64,10
O0000012,P00014,4,385.58,0
O0000012,P00159,3,146.75,0
O0000012,P00218,1,33.91,0
O0000013,P00087,3,142.15,15
O0000013,P00206,1,101.69,0
O0000013,P00292,2,286.65,15
O0000013,P00218,3,33.91,5
O0000014,P00185,3,326.57,0
O0000014,P00152,3,377.44,0
O0000014,P00020,4,36.02,0
O0000015,P00143,3,246.2,0
O0000015,P00125,3,11.08,5
O0000015,P00151,4,338.04,5
O0000016,P00071,2,281.51,0
O0000016,P00276,1,103.85,0
O0000016,P00068,4,58.1,15
O0000017,P00112,3,47.63,0
O0000017,P00197,4,74.92,0
O0000017,P00174,3,216.74,15
O0000017,P00043,2,315.67,15
O0000017,P00274,3,8.52,15
O0000018,P00164,3,260.83,15
O0000018,P00259,3,345.65,0
O0000018,P00084,1,117.75,15
O0000018,P00288,3,276.07,10
O0000018,P00088,2,225.14,5
O0000019,P00107,1,356.38,10
O0000020,P00114,1,115.13,10
O0000020,P00076,4,202.4,15
O0000020,P00281,1,287.43,0
O0000021,P00121,4,166.57,5
O0000021,P00285,4,55.75,5
O0000021,P00152,1,377.44,0
O0000021,P00049,4,451.99,5
O0000021,P00273,2,67.39,0
O0000022,P00077,1,239.42,15
O0000022,P00128,3,52.27,0
O0000022,P00021,1,52.98,10
O0000023,P00282,3,246.25,5
O0000023,P00053,1,110.35,5
O0000023,P00166,3,328.31,5
O0000024,P00030,1,101.71,0
O0000024,P00118,1,100.67,0
O0000024,P00062,1,115.99,0
O0000024,P00159,2,146.75,10
O0000024,P00091,4,74.11,0
O0000025,P00232,2,57.6,0
O0000026,P00002,4,135.78,5
O0000026,P00079,4,288.69,15
O0000026,P00098,2,175.74,0
O0000026,P00102,3,127.43,15
O0000026,P00170,3,116.08,10
O0000027,P00281,2,287.43,0
O0000027,P00226,1,312.83,0
O0000027,P00094,2,72.09,10
O0000027,P00040,3,223.97,0
O0000027,P00253,1,131.83,15
O0000028,P00077,4,239.42,0
O0000028,P00009,2,25.41,0
O0000028,P00083,4,137.96,10
O0000028,P00047,4,313.97,10
O0000029,P00018,3,73.28,0
O0000029,P00132,1,188.81,5
O0000029,P00041,4,14.62,15
O0000029,P00244,4,131.91,5
O0000029,P00130,4,69.89,0
O0000030,P00210,1,239.63,0
O0000031,P00299,4,367.68,10
O0000032,P00191,3,115.77,10
O0000032,P00040,4,223.97,5
O0000032,P00041,1,14.62,10
O0000032,P00045,3,196.44,15
O0000033,P00011,1,188.05,15
O0000034,P00211,2,265.01,0
O0000034,P00159,2,146.75,10
O0000034,P00275,1,282.67,0
O0000034,P00127,3,279.84,0
O0000034,P00263,3,331.15,15
O0000035,P00021,4,52.98,0
O0000036,P00107,1,356.38,10
