order_id,customer_id,store_id,order_ts,status
O0000001,C000215,S001,2025-12-23 18:48:18,DELIVERED
O0000002,C000360,S006,2025-12-26 03:11:18,PLACED
O0000003,C000083,S005,2025-12-27 15:36:18,DELIVERED
O0000004,C000033,S007,2025-12-27 13:37:18,SHIPPED
O0000005,C000131,S008,2025-12-24 19:39:18,DELIVERED
O0000006,C000497,S005,2025-12-28 15:30:18,PLACED
O0000007,C000658,S001,2025-12-27 02:55:18,DELIVERED
O0000008,C000203,S003,2025-12-27 11:35:18,DELIVERED
O0000009,C000553,S009,2025-12-27 06:50:18,DELIVERED
O0000010,C000507,S005,2025-12-24 10:14:18,SHIPPED
O0000011,C000339,S008,2025-12-27 15:58:18,DELIVERED
O0000012,C000572,S001,2025-12-24 13:04:18,DELIVERED
O0000013,C000189,S003,2025-12-28 14:44:18,PLACED
O0000014,C000155,S002,2025-12-22 05:24:18,PLACED
O0000015,C000539,S009,2025-12-27 01:48:18,DELIVERED
O0000016,C000410,S010,2025-12-25 22:12:18,DELIVERED
O0000017,C000337,S003,2025-12-23 12:15:18,CANCELLED
O0000018,C000016,S009,2025-12-24 04:56:18,SHIPPED
O0000019,C000252,S007,2025-12-26 00:41:18,PLACED
O0000020,C000683,S004,2025-12-26 18:50:18,DELIVERED
O0000021,C000144,S001,2025-12-27 20:13:18,DELIVERED
O0000022,C000683,S008,2025-12-28 00:59:18,DELIVERED
O0000023,C000258,S001,2025-12-28 01:49:18,DELIVERED
O0000024,C000211,S005,2025-12-25 12:10:18,DELIVERED
O0000025,C000631,S001,2025-12-22 03:02:18,SHIPPED
O0000026,C000515,S003,2025-12-25 00:48:18,CANCELLED
O0000027,C000522,S005,2025-12-27 09:52:18,DELIVERED
O0000028,C000006,S006,2025-12-22 07:58:18,DELIVERED
O0000029,C000670,S008,2025-12-23 04:23:18,CANCELLED
O0000030,C000187,S001,2025-12-23 12:33:18,DELIVERED
O0000031,C000675,S006,2025-12-28 04:54:18,SHIPPED
O0000032,C000147,S006,2025-12-24 05:35:18,DELIVERED
O0000033,C000375,S010,2025-12-21 20:23:18,DELIVERED
O0000034,C000735,S001,2025-12-26 09:04:18,DELIVERED
O0000035,C000754,S002,2025-12-26 07:05:18,DELIVERED
O0000036,C000569,S009,2025-12-22 04:39:18,SHIPPED
O0000037,C000668,S003,2025-12-24 00:28:18,DELIVERED
O0000038,C000474,S005,2025-12-23 15:12:18,SHIPPED
O0000039,C000031,S001,2025-12-24 11:16:18,SHIPPED
O0000040,C000349,S008,2025-12-22 07:50:18,PLACED
O0000041,C000248,S009,2025-12-26 09:17:18,SHIPPED
O0000042,C000552,S007,2025-12-23 15:08:18,PLACED
O0000043,C000757,S004,2025-12-23 01:42:18,DELIVERED
O0000044,C000021,S002,2025-12-22 18:48:18,DELIVERED
O0000045,C000172,S007,2025-12-27 03:14:18,DELIVERED
O0000046,C000478,S005,2025-12-26 04:20:18,SHIPPED
O0000047,C000293,S006,2025-12-26 20:57:18,DELIVERED
O0000048,C000709,S010,2025-12-22 04:30:18,PLACED
O0000049,C000583,S009,2025-12-27 05:53:18,SHIPPED
O0000050,C000033,S007,2025-12-26 22:33:18,DELIVERED
O0000051,C000586,S007,2025-12-27 14:00:18,DELIVERED
O0000052,C000474,S002,2025-12-26 14:10:18,SHIPPED
O0000053,C000024,S002,2025-12-27 11:59:18,DELIVERED
O0000054,C000765,S003,2025-12-27 05:41:18,DELIVERED
O0000055,C000749,S004,2025-12-26 08:17:18,PLACED
O0000056,C000598,S002,2025-12-24 22:16:18,DELIVERED
O0000057,C000042,S007,2025-12-27 01:58:18,SHIPPED
O0000058,C000382,S009,2025-12-22 18:31:18,SHIPPED
O0000059,C000247,S001,2025-12-25 14:47:18,SHIPPED
O0000060,C000136,S003,2025-12-24 07:21:18,SHIPPED
O0000061,C000058,S002,2025-12-25 06:32:18,DELIVERED
O0000062,C000722,S003,2025-12-28 13:10:18,SHIPPED
O0000063,C000479,S010,2025-12-22 19:54:18,SHIPPED
O0000064,C000298,S006,2025-12-28 03:06:18,SHIPPED
O0000065,C000034,S010,2025-12-22 19:04:18,PLACED
O0000066,C000275,S010,2025-12-27 13:49:18,DELIVERED
O0000067,C000127,S009,2025-12-28 08:44:18,SHIPPED
O0000068,C000223,S003,2025-12-25 07:33:18,PLACED
O0000069,C000292,S004,2025-12-25 06:01:18,CANCELLED
O0000070,C000153,S004,2025-12-26 01:45:18,SHIPPED
O0000071,C000471,S005,2025-12-28 17:32:18,DELIVERED
O0000072,C000684,S003,2025-12-21 20:16:18,SHIPPED
O0000073,C000149,S002,2025-12-28 16:20:18,SHIPPED
O0000074,C000143,S008,2025-12-27 19:33:18,DELIVERED
O0000075,C000029,S006,2025-12-23 05:32:18,SHIPPED
O0000076,C000276,S003,2025-12-24 06:04:18,DELIVERED
O0000077,C000215,S004,2025-12-22 01:17:18,DELIVERED
O0000078,C000389,S008,2025-12-24 01:46:18,PLACED
O0000079,C000070,S010,2025-12-25 13:07:18,DELIVERED
O0000080,C000057,S005,2025-12-24 23:42:18,DELIVERED
O0000081,C000618,S005,2025-12-26 12:06:18,DELIVERED
O0000082,C000078,S004,2025-12-22 21:36:18,DELIVERED
O0000083,C000788,S006,2025-12-27 10:08:18,DELIVERED
O0000084,C000469,S005,2025-12-25 11:01:18,DELIVERED
O0000085,C000401,S010,2025-12-22 03:50:18,PLACED
O0000086,C000210,S004,2025-12-22 18:47:18,DELIVERED
O0000087,C000525,S004,2025-12-28 12:05:18,DELIVERED
O0000088,C000171,S002,2025-12-28 06:11:18,SHIPPED
O0000089,C000221,S007,2025-12-25 22:22:18,DELIVERED
O0000090,C000495,S007,2025-12-25 01:53:18,SHIPPED
O0000091,C000535,S010,2025-12-24 21:58:18,DELIVERED
O0000092,C000542,S001,2025-12-24 14:30:18,SHIPPED
O0000093,C000600,S004,2025-12-24 07:17:18,PLACED
O0000094,C000287,S009,2025-12-27 23:03:18,CANCELLED
O0000095,C000519,S003,2025-12-25 09:35:18,DELIVERED
O0000096,C000594,S003,2025-12-24 01:51:18,CANCELLED
O0000097,C000284,S010,2025-12-22 08:39:18,DELIVERED
O0000098,C000715,S001,2025-12-27 10:34:18,DELIVERED
O0000099,C000408,S006,2025-12-27 10:12:18,SHIPPED
O0000100,C000219,S002,2025-12-27 05:43:18,SHIPPED
O0000101,C000603,S008,2025-12-27 11:25:18,PLACED
O0000102,C000240,S008,2025-12-26 11:36:18,SHIPPED
O0000103,C000354,S006,2025-12-26 13:23:18,DELIVERED
O0000104,C000094,S010,2025-12-28 11:32:18,DELIVERED
O0000105,C000156,S004,2025-12-22 07:38:18,DELIVERED
O0000106,C000041,S001,2025-12-25 18:07:18,DELIVERED
